,dr1,dr2,dr3,dr4,dr5,dr6,dr7,dr8,dr9,dr10,labels
717255,0.1095365360379219,0.10892254114151001,0.12040210515260696,0.11778818815946579,0.10420746356248856,0.09951332956552505,0.08951886743307114,0.0843312069773674,0.06480176001787186,0.05170295760035515,0
689912,0.1753350794315338,0.08510150015354156,0.05867601931095123,0.057738110423088074,0.038808852434158325,0.04693375155329704,0.060220181941986084,0.06644382327795029,0.07444320619106293,0.07734015583992004,0
490033,0.023504167795181274,0.06829679012298584,0.07648579776287079,0.07333499193191528,0.08451659232378006,0.08175675570964813,0.09917910397052765,0.11860407143831253,0.09532482922077179,0.050018154084682465,1
938891,-0.16257146000862122,-0.18599632382392883,-0.19306114315986633,-0.19021683931350708,-0.16926398873329163,-0.1334930658340454,-0.08160458505153656,-0.06239737570285797,-0.06250634044408798,-0.05590156465768814,0
695887,0.28377169370651245,0.2332821786403656,0.1981891691684723,0.18099120259284973,0.14326059818267822,0.12460248172283173,0.1211998462677002,0.11464956402778625,0.10119454562664032,0.06787283718585968,0
431792,0.3127281069755554,0.28337362408638,0.28759026527404785,0.28616863489151,0.2741946280002594,0.23939575254917145,0.17237329483032227,0.09976989775896072,0.04125511273741722,0.009177446365356445,1
87647,-0.028830844908952713,0.046579159796237946,0.0701507180929184,0.07149288803339005,0.06937488168478012,0.030582785606384277,-0.005805842578411102,-0.024943940341472626,-0.021029479801654816,-0.0008003022521734238,1
740230,-0.04550885409116745,-0.024460092186927795,0.011039037257432938,0.02583489939570427,0.08011471480131149,0.0840187519788742,0.08306260406970978,0.07416442036628723,0.081742063164711,0.07556766271591187,0
440016,0.022544920444488525,0.07953856885433197,0.10808310657739639,0.1167076826095581,0.10819905251264572,0.09753461927175522,0.09741885960102081,0.1043890044093132,0.10898105800151825,0.0938737690448761,1
962806,0.3207849860191345,0.16192005574703217,0.0720895528793335,0.03380734473466873,-0.05300692468881607,-0.0778535008430481,-0.0840533897280693,-0.07468444108963013,-0.0575835295021534,-0.03797931596636772,0
93180,-0.13881763815879822,-0.1253608614206314,-0.09277234971523285,-0.07160960137844086,-0.010642904788255692,0.01579101011157036,0.02765043079853058,0.027736935764551163,0.0351986326277256,0.03368847817182541,1
563642,-0.1562926471233368,-0.1192486584186554,-0.10037606954574585,-0.09026333689689636,-0.059521518647670746,-0.03703658655285835,-0.01400083675980568,-0.007590083405375481,-0.01581558771431446,-0.011387860402464867,0
399452,-0.03223806992173195,-0.00197818735614419,0.013236080296337605,0.01836666837334633,0.008315794169902802,0.013840761035680771,0.00990072637796402,-0.013261578977108002,-0.022429058328270912,-0.025528915226459503,0
175669,-0.05506237968802452,0.04282218962907791,0.07560106366872787,0.08394567668437958,0.07675845175981522,0.0436413399875164,0.01691157929599285,0.012786027044057846,0.05006038397550583,0.051307521760463715,0
450606,-0.02114054560661316,0.004402928054332733,0.024591758847236633,0.04000067710876465,0.05030438303947449,0.0601646713912487,0.06177706643939018,0.05728471651673317,0.07377677410840988,0.06449393928050995,0
13154,0.11900517344474792,0.04838205873966217,0.03329381346702576,0.03816226124763489,0.018126070499420166,0.0063573941588401794,-0.006400257349014282,-0.0015877708792686462,0.023828230798244476,0.042951736599206924,1
242307,-0.042943552136421204,-0.005664117634296417,0.017026476562023163,0.025530178099870682,0.05434368923306465,0.04251335188746452,0.014030274003744125,-0.026868045330047607,-0.05756156146526337,-0.06686723232269287,0
52366,-0.19204676151275635,-0.1319919377565384,-0.09922206401824951,-0.08639784157276154,-0.042631909251213074,-0.0284915491938591,-0.025633404031395912,-0.01762024313211441,-0.00964538287371397,-0.002832692116498947,0
796118,-0.297776460647583,-0.22553521394729614,-0.18975910544395447,-0.1773073375225067,-0.13249856233596802,-0.11139059066772461,-0.10995358228683472,-0.11696640402078629,-0.10668906569480896,-0.09154164791107178,0
709336,0.16382969915866852,0.14966118335723877,0.14067862927913666,0.13523337244987488,0.13630211353302002,0.11383907496929169,0.07268054783344269,0.03269324451684952,0.0033183395862579346,-0.011417264118790627,1
29530,0.11083509027957916,0.01834789663553238,-0.018753670156002045,-0.028405562043190002,-0.04476281628012657,-0.0452079139649868,-0.03843946009874344,-0.022960128262639046,-0.019333790987730026,-0.014118105173110962,0
388488,-0.09062957763671875,-0.06170850992202759,-0.043407902121543884,-0.03653277829289436,-0.026002779603004456,-0.026770882308483124,-0.022923290729522705,-0.008591517806053162,-0.018025632947683334,-0.047249823808670044,0
430483,0.33469557762145996,0.2859625518321991,0.22889070212841034,0.19633421301841736,0.09875142574310303,0.04090471565723419,-0.02535097301006317,-0.0726056694984436,-0.09241084009408951,-0.09746716916561127,1
563265,0.07222501188516617,0.10796575248241425,0.11288782209157944,0.10552902519702911,0.07151096314191818,0.0579376146197319,0.05811433494091034,0.07482162117958069,0.10085544735193253,0.10045121610164642,0
731051,-0.098637156188488,-0.08493741601705551,-0.06196177005767822,-0.0472993329167366,0.02225341647863388,0.04778093099594116,0.04925975576043129,0.027408942580223083,0.016740556806325912,0.02801593579351902,0
778370,0.23999996483325958,0.150776207447052,0.0892544761300087,0.06403544545173645,0.03686056286096573,0.022229550406336784,0.010409500449895859,-0.004457291215658188,-0.03313110023736954,-0.050442345440387726,0
85327,-0.02336163818836212,0.09160080552101135,0.13923382759094238,0.1579521894454956,0.19716310501098633,0.20401959121227264,0.19032296538352966,0.16399306058883667,0.14613863825798035,0.14953194558620453,1
673260,-0.023608766496181488,-0.03472626209259033,-0.030410461127758026,-0.030292198061943054,-0.03567153587937355,-0.028857989236712456,-0.02789970114827156,-0.031909454613924026,-0.04260433465242386,-0.04388650506734848,0
54073,0.4285596013069153,0.3082764744758606,0.25360798835754395,0.24229194223880768,0.2224941849708557,0.19659864902496338,0.13955824077129364,0.06656220555305481,0.008550025522708893,-0.016500383615493774,1
